iter	MultiClass
161	0.4112140708
162	0.4072554951
163	0.4034908247
164	0.3998855277
165	0.3965694981
166	0.3934791139
167	0.3908991212
168	0.3889941488
169	0.3857116273
170	0.3821628162
171	0.3787003521
172	0.3751994188
173	0.3721730959
174	0.3689908548
175	0.3657661952
176	0.362491084
177	0.3592452943
178	0.356307113
179	0.353532203
180	0.3503500394
181	0.3491282644
182	0.3458864172
183	0.3432071308
184	0.3403920799
185	0.3376201364
186	0.3351317887
187	0.3327174958
188	0.3297631512
189	0.3268922573
190	0.324444249
191	0.3218145068
192	0.319664855
193	0.3169037344
194	0.314993468
195	0.3126449025
196	0.3102271285
197	0.3079127864
198	0.3054432639
199	0.3033287396
200	0.3008912985
201	0.298357922
202	0.2961248151
203	0.2938928221
204	0.2915043997
205	0.289646114
206	0.2874595237
207	0.2854583909
208	0.28343981
209	0.2813529745
210	0.2791563911
211	0.2770270546
212	0.2752691913
213	0.2733407446
214	0.2713929609
215	0.2692438556
216	0.2673278694
217	0.2656662435
218	0.2643287945
219	0.263174304
220	0.2613285536
221	0.2595379552
222	0.2578081279
223	0.2560413478
224	0.2544035869
225	0.2527278761
226	0.2508883615
227	0.2490930576
228	0.2477705451
229	0.2460430122
230	0.2445032486
231	0.2428374639
232	0.2420230518
233	0.240294433
234	0.2386382162
235	0.2374853677
236	0.2361542084
237	0.2347269999
238	0.233401788
239	0.2323126214
240	0.230766433
241	0.2292053404
242	0.2279035156
243	0.2266074686
244	0.2254643691
245	0.2240893964
246	0.2234553082
247	0.2220314192
248	0.2209825547
249	0.219807354
250	0.2186784472
251	0.2173164752
252	0.2160949867
253	0.2147353351
254	0.2136266128
255	0.2129167935
256	0.211566392
257	0.2103801945
258	0.2095540335
259	0.2085530674
260	0.2073087299
261	0.2061621812
262	0.2053929178
263	0.2041247493
264	0.2028900103
265	0.2018593947
266	0.2008122546
267	0.1996196525
268	0.1986044401
269	0.1977363288
270	0.1966634526
271	0.1954787275
272	0.194432199
273	0.1933987985
274	0.192451134
275	0.1914965522
276	0.1903983555
277	0.189306163
278	0.1887280547
279	0.1877277927
280	0.186851825
281	0.1858927047
282	0.1851042356
283	0.1841687281
284	0.1832732785
285	0.1823697807
286	0.1814911006
287	0.1806053134
288	0.1796906451
289	0.178755118
290	0.1778347046
291	0.1769308356
292	0.1760069497
293	0.1751376988
294	0.1746441483
295	0.1737695116
296	0.1728302372
297	0.1719129102
298	0.1710478819
299	0.1702391565
300	0.1694642522
301	0.1686347218
302	0.1678086531
303	0.1669598666
304	0.166186305	0305	0.165370306	0306	0.164675307	0307	0.163904308	308	0.1635460309	0.1987201988
310	0.1977264872
311	0.1968339936
312	0.1959225212
313	0.1955332853
314	0.1945274557
315	0.1938758583
316	0.1931090063
317	0.1921417565
318	0.1913004121
319	0.1903293042
320	0.1894013352
321	0.1887742505
322	0.1880327581
323	0.1873001405
324	0.1865668651
325	0.1857369584
326	0.1848432011
327327	0.15067504328328	0.15012800329329	0.14949223330330	0.1487928031
331	0.148082623
332	0.1474797537
333	0.1467945119
334	0.1461854251
335	0.14564181336336	0.14500365337337	0.1443621338	338	0.1439666339	0.1745399013
340	0.1740008296
341	0.1731877698
342	0.1724830268
343	0.1720173944
344	344	0.1406088345	0.1704520711
346	0.16988787
347	0.1692072691
348	0.1684356156
349	0.1678175982
350	0.1670749188
351	0.1665089662
352	0.1658235903
353	0.1651336264
354	0.1643533494
355	0.1638839899
356	0.1632242314
357	0.1625340305
358	0.1619206333
359	0.1613483518
360	0.1607821074
361	0.160195953
362	0.1595964578
363	0.1589926411
364	0.158301115
365	0.157613518
366	0.1570392911
367	0.1564009067
368	0.1557652799
369	0.1551630645
370	0.1545232645
371	0.1538563344
372	0.1533736145
373	0.1527199114
374	0.1520551631
375	0.1514419645
376	0.1508694867
377	0.1502713428
378	0.1496272207
379	0.1489835115
380	0.1484394078
381	0.1479075163
382	0.1473487212
383	0.14684652
384	0.1462994331
385	0.1456897159
386	0.1453211542
387	0.1447288211
388	0.1441476475
389	0.1436123717
390	0.1431489607
391	0.1425830057
392	0.1420445302
393	0.1415147106
394	0.1409770309
395	0.1405647876
396	0.1402471242
397	0.1399914334
398	0.1395504532
399	0.1389923249
400	0.1384452599
401	0.1379269118
402	0.1375380117
403	0.1370973572
404	0.1365357717
405	0.1360393987
406	0.1355296911
407	0.1352458378
408	0.1349508185
409	0.1344106095
410	0.1339019971
411	0.1334373158
412	0.1330237517
413	0.1325947302
414	0.1321435323
415	0.1316307067
416	0.1311307315
417	0.1306453677
418	0.1302162713
419	0.1297951036
420	0.129461251
421	0.1290223849
422	0.1287237602
423	0.1282779404
424	0.1278084821
425	0.127422643
426	0.1269784041
427	0.1265163118
428	0.1261153543
429	0.1258498104
430	0.1254071481
431	0.1250917691
432	0.1247314054
433	0.1243019793
434	0.1240013368
435	0.1237117758
436	0.1233137126
437	0.1230264809
438	0.1226151592
439	0.1222196568
440	0.1218783942
441	0.1215155441
442	0.1211482664
443	0.1208842485
444	0.1205061194
445	0.1200744398
446	0.1196693683
447	0.1193146882
448	0.1188943889
449	0.1185726891
450	0.1181626432
451	0.117867781
452	0.1174694584
453	0.1170825484
454	0.1168263043
455	0.1164998165
456	0.1160898634
457	0.115695634
458	0.1153647054
459	0.1150117572
460	0.1146619132
461	0.1143201775
462	0.1139819077
463	0.1137635599
464	0.1134164151
465	0.1130866887
466	0.1127537285
467	0.1124055154
468	0.1120441148
469	0.1117265336
470	0.1114006875
471	0.1111525411
472	0.1108304601
473	0.1104707154
474	0.1101727104
475	0.1098897251
476	0.1095399778
477	0.1092233939
478	0.1089321741
479	0.1086199346
480	0.1082867963
481	0.1079681251
482	0.1077135043
483	0.1073809056
484	0.1070369906
485	0.1067002511
486	0.1064829147
487	0.1061899328
488	0.1058462617
489	0.1055053234
490	0.1051803511
491	0.1048975206
492	0.1045838125
493	0.1043115467
494	0.1040298066
495	0.1037800627
496	0.1035457256
497	0.1033743547
498	0.1031305108
499	0.1028727839
497	0.08582017294
498	0.0855762267
499	0.08532807542
2888
489	0.0479746442
490	0.04785856965
491	0.04773423787
492	0.04760494941
493	0.04748795325
494	0.04738688273
495	0.04725239256
496	0.04713614236
497	0.04701845782
498	0.04689809163
499	0.04676847146
7187
487	0.01108136879
488	0.01105708388
489	0.01103268811
490	0.01101745194
491	0.01098365951
492	0.01096568668
493	0.01094242575
494	0.01092425569
495	0.01090740545
496	0.01087980787
497	0.01085261437
498	0.01082439506
499	0.01079357937
